GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median gross rent,Margin of Error; Median gross rent
1400000US17031150502,17031150502,"Census Tract 1505.02, Cook County, Illinois",1050,134
1400000US17031150600,17031150600,"Census Tract 1506, Cook County, Illinois",1000,94
1400000US17031150700,17031150700,"Census Tract 1507, Cook County, Illinois",1148,238
1400000US17031150800,17031150800,"Census Tract 1508, Cook County, Illinois",993,99
1400000US17031151001,17031151001,"Census Tract 1510.01, Cook County, Illinois",1009,83
1400000US17031151002,17031151002,"Census Tract 1510.02, Cook County, Illinois",922,77
1400000US17031151100,17031151100,"Census Tract 1511, Cook County, Illinois",1028,82
1400000US17031151200,17031151200,"Census Tract 1512, Cook County, Illinois",844,102
1400000US17031160100,17031160100,"Census Tract 1601, Cook County, Illinois",1147,52
1400000US17031160200,17031160200,"Census Tract 1602, Cook County, Illinois",889,61
1400000US17031160300,17031160300,"Census Tract 1603, Cook County, Illinois",925,89
1400000US17031160400,17031160400,"Census Tract 1604, Cook County, Illinois",992,45
1400000US17031160501,17031160501,"Census Tract 1605.01, Cook County, Illinois",1075,111
1400000US17031160502,17031160502,"Census Tract 1605.02, Cook County, Illinois",1080,63
1400000US17031160601,17031160601,"Census Tract 1606.01, Cook County, Illinois",1072,132
1400000US17031160602,17031160602,"Census Tract 1606.02, Cook County, Illinois",987,41
1400000US17031160700,17031160700,"Census Tract 1607, Cook County, Illinois",1280,109
1400000US17031160800,17031160800,"Census Tract 1608, Cook County, Illinois",1088,73
1400000US17031160900,17031160900,"Census Tract 1609, Cook County, Illinois",984,86
1400000US17031161000,17031161000,"Census Tract 1610, Cook County, Illinois",1118,167
1400000US17031161100,17031161100,"Census Tract 1611, Cook County, Illinois",1334,152
1400000US17031161200,17031161200,"Census Tract 1612, Cook County, Illinois",1050,135
1400000US17031161300,17031161300,"Census Tract 1613, Cook County, Illinois",940,88
1400000US17031170100,17031170100,"Census Tract 1701, Cook County, Illinois",1210,693
1400000US17031170200,17031170200,"Census Tract 1702, Cook County, Illinois",941,109
1400000US17031170300,17031170300,"Census Tract 1703, Cook County, Illinois",1053,122
1400000US17031170400,17031170400,"Census Tract 1704, Cook County, Illinois",1113,153
1400000US17031170500,17031170500,"Census Tract 1705, Cook County, Illinois",1123,70
1400000US17031170600,17031170600,"Census Tract 1706, Cook County, Illinois",981,143
1400000US17031170700,17031170700,"Census Tract 1707, Cook County, Illinois",1095,131
1400000US17031170800,17031170800,"Census Tract 1708, Cook County, Illinois",963,49
1400000US17031170900,17031170900,"Census Tract 1709, Cook County, Illinois",904,82
1400000US17031171000,17031171000,"Census Tract 1710, Cook County, Illinois",1084,193
1400000US17031171100,17031171100,"Census Tract 1711, Cook County, Illinois",976,70
1400000US17031180100,17031180100,"Census Tract 1801, Cook County, Illinois",781,103
1400000US17031190100,17031190100,"Census Tract 1901, Cook County, Illinois",880,90
1400000US17031190200,17031190200,"Census Tract 1902, Cook County, Illinois",1076,91
1400000US17031190300,17031190300,"Census Tract 1903, Cook County, Illinois",821,46
1400000US17031190401,17031190401,"Census Tract 1904.01, Cook County, Illinois",1041,211
1400000US17031190402,17031190402,"Census Tract 1904.02, Cook County, Illinois",1032,84
1400000US17031190601,17031190601,"Census Tract 1906.01, Cook County, Illinois",1117,79
1400000US17031190602,17031190602,"Census Tract 1906.02, Cook County, Illinois",1053,97
1400000US17031190701,17031190701,"Census Tract 1907.01, Cook County, Illinois",1002,91
1400000US17031190702,17031190702,"Census Tract 1907.02, Cook County, Illinois",985,99
1400000US17031190800,17031190800,"Census Tract 1908, Cook County, Illinois",959,58
1400000US17031190900,17031190900,"Census Tract 1909, Cook County, Illinois",921,111
1400000US17031191000,17031191000,"Census Tract 1910, Cook County, Illinois",994,106
1400000US17031191100,17031191100,"Census Tract 1911, Cook County, Illinois",855,38
1400000US17031191200,17031191200,"Census Tract 1912, Cook County, Illinois",951,50
1400000US17031191301,17031191301,"Census Tract 1913.01, Cook County, Illinois",966,56
1400000US17031191302,17031191302,"Census Tract 1913.02, Cook County, Illinois",1014,102
1400000US17031200100,17031200100,"Census Tract 2001, Cook County, Illinois",970,55
1400000US17031200200,17031200200,"Census Tract 2002, Cook County, Illinois",1012,57
1400000US17031200300,17031200300,"Census Tract 2003, Cook County, Illinois",963,25
1400000US17031200401,17031200401,"Census Tract 2004.01, Cook County, Illinois",928,39
1400000US17031200402,17031200402,"Census Tract 2004.02, Cook County, Illinois",884,92
1400000US17031210100,17031210100,"Census Tract 2101, Cook County, Illinois",1211,93
1400000US17031210400,17031210400,"Census Tract 2104, Cook County, Illinois",1023,53
1400000US17031210501,17031210501,"Census Tract 2105.01, Cook County, Illinois",936,66
1400000US17031210502,17031210502,"Census Tract 2105.02, Cook County, Illinois",1004,72
1400000US17031210601,17031210601,"Census Tract 2106.01, Cook County, Illinois",1041,106
1400000US17031210602,17031210602,"Census Tract 2106.02, Cook County, Illinois",989,71
1400000US17031210700,17031210700,"Census Tract 2107, Cook County, Illinois",1124,53
1400000US17031210800,17031210800,"Census Tract 2108, Cook County, Illinois",1047,89
1400000US17031210900,17031210900,"Census Tract 2109, Cook County, Illinois",1147,97
1400000US17031220300,17031220300,"Census Tract 2203, Cook County, Illinois",1266,94
1400000US17031220400,17031220400,"Census Tract 2204, Cook County, Illinois",1610,91
1400000US17031220500,17031220500,"Census Tract 2205, Cook County, Illinois",1533,174
1400000US17031220601,17031220601,"Census Tract 2206.01, Cook County, Illinois",1168,183
1400000US17031220602,17031220602,"Census Tract 2206.02, Cook County, Illinois",974,139
1400000US17031220701,17031220701,"Census Tract 2207.01, Cook County, Illinois",1092,60
1400000US17031220702,17031220702,"Census Tract 2207.02, Cook County, Illinois",1011,70
1400000US17031220901,17031220901,"Census Tract 2209.01, Cook County, Illinois",961,99
1400000US17031220902,17031220902,"Census Tract 2209.02, Cook County, Illinois",1070,40
1400000US17031221000,17031221000,"Census Tract 2210, Cook County, Illinois",1098,67
1400000US17031221100,17031221100,"Census Tract 2211, Cook County, Illinois",1123,76
1400000US17031221200,17031221200,"Census Tract 2212, Cook County, Illinois",1231,149
1400000US17031221300,17031221300,"Census Tract 2213, Cook County, Illinois",1161,74
1400000US17031221400,17031221400,"Census Tract 2214, Cook County, Illinois",1321,219
1400000US17031221500,17031221500,"Census Tract 2215, Cook County, Illinois",1017,99
1400000US17031221600,17031221600,"Census Tract 2216, Cook County, Illinois",1541,128
1400000US17031222200,17031222200,"Census Tract 2222, Cook County, Illinois",1790,114
1400000US17031222500,17031222500,"Census Tract 2225, Cook County, Illinois",1162,109
1400000US17031222600,17031222600,"Census Tract 2226, Cook County, Illinois",1203,105
1400000US17031222700,17031222700,"Census Tract 2227, Cook County, Illinois",1183,71
1400000US17031222800,17031222800,"Census Tract 2228, Cook County, Illinois",977,60
1400000US17031222900,17031222900,"Census Tract 2229, Cook County, Illinois",1007,124
1400000US17031230100,17031230100,"Census Tract 2301, Cook County, Illinois",963,44
1400000US17031230200,17031230200,"Census Tract 2302, Cook County, Illinois",1017,141
1400000US17031230300,17031230300,"Census Tract 2303, Cook County, Illinois",878,130
1400000US17031230400,17031230400,"Census Tract 2304, Cook County, Illinois",1103,89
1400000US17031230500,17031230500,"Census Tract 2305, Cook County, Illinois",880,166
1400000US17031230600,17031230600,"Census Tract 2306, Cook County, Illinois",941,106
1400000US17031230700,17031230700,"Census Tract 2307, Cook County, Illinois",1055,51
1400000US17031230800,17031230800,"Census Tract 2308, Cook County, Illinois",997,99
1400000US17031230900,17031230900,"Census Tract 2309, Cook County, Illinois",1038,90
1400000US17031231100,17031231100,"Census Tract 2311, Cook County, Illinois",835,91
1400000US17031231200,17031231200,"Census Tract 2312, Cook County, Illinois",924,57
1400000US17031231500,17031231500,"Census Tract 2315, Cook County, Illinois",1035,136
1400000US17031240200,17031240200,"Census Tract 2402, Cook County, Illinois",1348,246
1400000US17031240300,17031240300,"Census Tract 2403, Cook County, Illinois",1586,245
